marker-color,marker-size,marker-symbol,project-name,state-region,,basin,sub-basin,rivers,status,installed-capacity(MW),generation(GWh/yr),height(M),total-storage(hm),reservoir-area(hm),reservoir-length(km),retention-period(days),Type (#),Export %,stage,date-signed,foreign-developer,local-developer,country-of-foreing-developer,year,lon,lat
#000000,small,dam,Thauk Ye Khat 2,Kayin,,Sittaung,Thauk Ye Khat,Thauk Ye Khat,Existing,120,604,94,444,60,,,,,,,,,Gold Energy(MYA),2014,96.619907,18.914102
#ff80c0,small,dam,Thauk Ye Khat 1,Kayin,,Sittaung,Thauk Ye Khat,Thauk Ye Khat,Identified Potential Site,150,NP ,NP,NP,NP ,NP  ,NP , ,0%,,,,,,,96.719624,18.938587
#000000,small,dam,Kabaung,Bago,,,,,Existing,30,120,61,"1,468",~150 ,,,,,,,,,MoEE/MoALI,2008,96.26358032,18.89524292
#000000,medium,dam,Paunglaung(Lower),Naypyitaw,,Sittaung,Paung Laung,Paung Laung Chaung,Existing,280,911,131,678,15,16,- ,,,,,,,MoEE ,2005,96.35421753,19.79448715
#000000,small,dam,Paunglaung(Upper),Shan (South),,Sittaung,Paung Laung,Paung Laung Chaung,Existing,140,454,98,"1,286",11,50,- ,,,,,,,MoEE ,2015,96.62097931,19.8238808
#ff0000,small,dam,Paunglaung(Middle),Shan (South),,Sittaung,Paung Laung,Paung Laung Chaung,Planned,100,342,83,429,10,29,S ,,0%,MoU,21/10/15,Energized Myanmar,,SIN,2021,96.508,19.86
#000000,small,dam,Nancho,Naypyitaw,,Sittaung,Paung Laung,Sin The Chaung,Existing,40,152,72,9,0,3,5.2,,,,,,,MoEE ,2014,96.450483,19.7412
#ff0000,small,dam,He Kou,Shan,- ,Mekong,Nam Lwe,Nam Lwe,Planned,138,483,NP ,68,0.4,ROR ,6.5,27,NP ,MoU ,25/9/07 ,YNIC ,- ,PRC ,2025,100.720928,21.341291
#ff0000,small,dam,Keng Yang,Shan,- ,Mekong,Nam Lwe,Nam Lwe,Planned,70,155,NP ,41,0.3,ROR ,5.4,24,NP ,MoU ,25/9/07 ,YNIC ,- ,PRC ,2025,100.5619,21.3469
#7e7e7e,small,dam,Mongwa,Shan,-,Mekong,Nam Lwe,Nam Lwe,Existing,68,311,51,78,8,31,-,,,MoU,25/9/07,YNIC ,-,PRC,2025,100.325821,21.39699
#ff0000,medium,dam,Suo Lwe,Shan,- ,Mekong,Nam Lwe,Nam Lwe,Planned,240,NP ,NP ,"1,338",46.4,S ,40.9,72,NP ,MoU ,25/9/07 ,YNIC ,- ,PRC ,2025,100.176054,21.359543
#ff0000,small,dam,Keng Tong,Shan,,Mekong,Nam Lwe,Nam Lwe,Planned,170,536,NP ,32,1.2,ROR ,8.4,26,NP ,,,,,,,99.500985,21.617799
#ff0000,small,dam,Nam Lin,Shan,NP,Mekong,Nam Lin,Nam Lin,Planned,36,156,26,14,3,ROR ,252 (+) ,NP ,0%,LocMoU ,8/10/2015,- ,MAM ,- ,2021,100.241026,20.742516
#ff0000,small,dam,Mong Hsat,Shan,NP ,Mekong,Nam Hkoke,Nam Hkoke,Planned,30,NP ,NP ,NP ,NP  ,,NP ,NP ,0%,LocMoU ,11/11/2015,- ,Suntac Power Co. ,MYA ,NP ,99.375,20.662222
#ff80c0,small,dam,Nam Hkok,Shan,,Mekong,Nam Hkoke,Nam Hkoke,Identified Potential Site,30,NP ,NP ,NP ,NP  ,,NP ,NP ,0%,,,,,,,99.34667,20.196337
#ff80c0,small,dam,Min Chaung,Chin,,Rakhine,Kaladan,Mi Chaung,Identified Potential Site,200,NP ,NP ,NP ,NP ,NP ,NP ,NP ,NP ,,,,,,,93.073495,21.334187
#ff80c0,small,dam,Saing Din,Rakhine,,Rakhine,Saing Din Creeek,,Identified Potential Site,77,236,NP ,NP ,NP ,NP ,NP ,NP ,NP ,,,,,,,92.652188,20.893779
#ff0000,medium,dam,Lemro1,Chin,,Rakhine,Lemro,Le Mro,Planed,600,"3,850",NP ,NP ,NP ,S ,229,NP ,0%,,,,,,,93.350503,20.857443
#ff0000,small,dam,Lemro 2,Rakhine,,Rakhine,Lemro,Le Mro,Planned,90,,NP ,NP ,NP ,NP ,,NP ,0%,,,,,,,93.268689,20.740347
#008080,small,dam,Thahtay,Rakhine,,Rakhine,Thahtay,Thahtay,Under Construction Site,111,NP ,91,NP ,NP ,NP ,- ,,,,,,,MoEE ,2020,94.381,18.64
#ff80c0,small,dam,Than Dwe,Rakhine,,Rakhine,Than Dwe,Than Dwe,Identified Potential Site,39,105,NP ,NP ,NP ,NP ,NP ,NP ,NP ,,,,,,,94.493902,18.386144
#ff80c0,small,dam,Kyein Ta Li,Rakhine,,Rakhine,Kyein Ta Li,Kyein Ta Li,Identified Potential Site,28,151,NP ,NP ,NP ,- ,NP ,NP ,0%,,,,,,,94.576508,17.950012
#008080,small,dam,Keng Tawng (Upper),Shan,,Thanlwin,Nam Teng,Nam Teng,Under Construction,51,231,56,128,NP ,NP ,NP ,,,,,,,MoEE ,2019,98.184077,20.74558
#ff0000,small,dam,Keng Tawng,Shan,,Thanlwin,Nam Teng,Nam Teng,Existing,54,378,27,61,0.08,0.9,- ,,,,,,,MoEE ,2016,98.29305,20.598345
#ff80c0,small,dam,Sar Ra Wa Chaung,Tanintharyi,,Tanintharyi,Tanintharyi,,Identified Potential Site,11,NP ,NP ,NP ,NP   ,,NP ,NP ,,,,,,,,98.98167,12.829406
#ff0000,medium,dam,Taninthayi,Tanintharyi,- ,Tanintharyi,Tanintharyi,Taninthayi,Suspend,600,"3,476",NP ,"27,086",212,S ,585,NP ,NP ,MoU ,9/10/2008,Italian-Thai ,- ,Thailand ,NP ,98.94,12.777
#ff80c0,small,dam,Tha Gyet Chaung,Tanintharyi,,Tanintharyi,Tanintharyi,Tha Gyet,Identified Potential Site,20,NP ,NP ,NP ,NP   ,,NP ,NP ,,,,,,,,99.227161,12.132896
#ff80c0,small,dam,Thein Khun Chaung,Tanintharyi,,Tanintharyi,Tanintharyi,Thein Kun,Identified Potential Site,25,NP ,NP ,NP ,NP   ,,NP ,NP ,,,,,,,,99.331205,11.769949
#ff80c0,small,dam,Glohong Kra,Tanintharyi,,Tanintharyi,Glohong Kra,Glohong Kra,Identified Potential Site,40,NP ,NP ,NP ,NP   ,,NP ,NP ,,,,,,,,98.858324,10.775209
#000000,small,dam,Zaungtu,Bago,,Myit Mo Hka & Bago,Bago,Bago River,Existing,20,76,45,407,25,19,,,,,,,,MoEE,1994,96.19898,17.755818
#ff0000,small,dam,Belin,Mon,n.a. ,Bilin,Bilin,Bilin River,Planned,280,NP ,131,"9,711",310,,578,S ,0%,Local MoU ,20/03/16 ,- ,HCDG ,HCDG ,2021,97.243546,17.519723
